               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10904,            0.077193,            0.049358,                   0,                   0,                   0,                   0,             0.10462,            0.056393,            0.048505,              0.0991,              0.0001,              0.0001
                   1,             0.10871,            0.064052,            0.049652,                   0,                   0,                   0,                   0,             0.10419,            0.056672,             0.04848,            0.097297,          0.00029703,          0.00029703
                   2,             0.10688,            0.077153,            0.049636,                   0,                   0,                   0,                   0,             0.10357,            0.057093,            0.048449,             0.09549,           0.0004901,           0.0004901
                   3,              0.1063,            0.068772,              0.0491,           0.0016411,              0.1875,           0.0017484,          0.00027532,             0.10277,             0.05765,             0.04841,            0.093679,          0.00067921,          0.00067921
                   4,             0.10587,            0.069975,            0.049546,             0.00125,              0.1875,           0.0043636,          0.00068801,             0.10204,            0.058143,             0.04837,            0.091864,          0.00086436,          0.00086436
                   5,             0.10642,            0.066705,            0.048888,             0.00125,              0.1875,           0.0021263,          0.00040931,             0.10114,            0.058766,            0.048325,            0.090046,           0.0010455,           0.0010455
                   6,             0.10544,            0.079283,            0.049008,             0.00125,              0.1875,           0.0031188,          0.00053059,             0.10028,            0.059378,            0.048279,            0.088223,           0.0012228,           0.0012228
                   7,             0.10571,            0.075455,            0.048663,             0.00125,              0.1875,           0.0024065,          0.00040223,            0.099471,            0.059945,            0.048234,            0.086396,            0.001396,            0.001396
                   8,             0.10359,            0.066356,            0.048299,             0.00125,              0.1875,           0.0059828,          0.00093365,            0.099036,            0.060255,            0.048209,            0.084565,           0.0015654,           0.0015654
                   9,             0.10108,            0.064985,            0.048393,             0.00125,              0.1875,           0.0027139,          0.00045075,            0.098538,            0.060613,             0.04818,            0.082731,           0.0017307,           0.0017307
                  10,             0.10117,            0.082579,            0.048266,             0.00125,              0.1875,           0.0020554,          0.00044157,            0.098011,            0.060998,            0.048152,            0.080892,           0.0018921,           0.0018921
                  11,             0.10148,            0.078178,             0.04835,             0.00125,              0.1875,           0.0041536,          0.00071409,            0.097511,             0.06137,            0.048121,             0.07905,           0.0020495,           0.0020495
                  12,             0.10086,            0.080609,            0.048259,             0.00125,              0.1875,           0.0014499,          0.00025837,             0.09692,            0.061796,            0.048091,            0.077203,            0.002203,            0.002203
                  13,             0.10024,            0.074585,            0.047926,             0.00125,              0.1875,           0.0019363,          0.00036685,            0.096372,            0.062197,            0.048059,            0.075353,           0.0023525,           0.0023525
